iter	Passed	Remaining
599	95278	222315
600	95377	222017
601	95483	221736
602	95595	221470
603	95715	221222
604	95818	220936
605	95923	220655
606	96057	220441
607	96206	220263
608	96359	220091
609	96487	219865
610	96630	219672
611	96742	219409
612	96848	219133
613	96953	218855
614	97068	218602
615	97173	218325
616	97318	218137
617	97461	217948
618	97584	217711
619	97705	217472
620	97814	217207
621	97924	216945
622	98033	216680
623	98139	216409
624	98260	216172
625	98411	216001
626	98564	215836
627	98713	215661
628	98859	215479
629	98970	215222
630	99101	215008
631	99257	214848
632	99375	214606
633	99478	214333
634	99585	214068
635	99694	213811
636	99825	213599
637	99977	213431
638	100083	213166
639	100187	212899
640	100312	212674
641	100450	212480
642	100588	212284
643	100701	212035
644	100802	211763
645	100903	211492
646	101004	211219
647	101130	211001
648	101272	210815
649	101404	210609
650	101538	210408
651	101646	210153
652	101792	209975
653	101934	209791
654	102063	209581
655	102208	209402
656	102327	209172
657	102440	208928
658	102552	208684
659	102667	208446
660	102819	208284
661	102971	208121
662	103117	207945
663	103249	207742
664	103392	207561
665	103540	207391
666	103680	207206
667	103818	207015
668	103960	206833
669	104103	206653
670	104215	206412
671	104368	206251
672	104507	206065
673	104661	205907
674	104781	205683
675	104903	205461
676	105022	205235
677	105132	204993
678	105246	204757
679	105354	204511
680	105502	204343
681	105652	204179
682	105808	204026
683	105925	203797
684	106037	203561
685	106147	203320
686	106257	203079
687	106382	202869
688	106496	202637
689	106605	202395
690	106720	202167
691	106832	201932
692	106941	201692
693	107053	201458
694	107162	201218
695	107268	200974
696	107411	200799
697	107555	200625
698	107711	200475
699	107861	200313
700	108018	200165
701	108169	200006
702	108290	199790
703	108461	199667
704	108617	199517
705	108773	199367
706	108913	199186
707	109059	199017
708	109169	198784
709	109310	198606
710	109470	198464
711	109581	198232
712	109686	197990
713	109799	197762
714	109940	197585
715	110081	197407
716	110187	197169
717	110328	196993
718	110492	196857
719	110644	196700
720	110770	196497
721	110923	196343
722	111086	196206
723	111232	196039
724	111357	195835
725	111497	195658
726	111635	195476
727	111792	195329
728	111905	195104
729	112019	194882
730	112126	194648
731	112229	194407
732	112333	194170
733	112467	193983
734	112616	193823
735	112770	193670
736	112913	193499
737	113058	193332
738	113169	193107
739	113285	192892
740	113401	192675
741	113510	192448
742	113655	192281
743	113772	192067
744	113917	191901
745	114031	191682
746	114137	191450
747	114249	191230
748	114352	190994
749	114475	190791
750	114620	190627
751	114762	190457
752	114879	190245
753	115019	190072
754	115166	189910
755	115319	189759
756	115474	189610
757	115628	189459
758	115765	189281
759	115881	189069
760	116000	188862
761	116139	188689
762	116281	188519
763	116396	188306
764	116515	188100
765	116629	187886
766	116771	187717
767	116879	187493
768	116999	187291
769	117104	187062
770	117221	186854
771	117327	186629
772	117471	186465
773	117576	186239
774	117689	186024
775	117794	185799
776	117902	185578
777	118023	185378
778	118165	185211
779	118280	185002
780	118386	184779
781	118496	184563
782	118614	184360
783	118731	184154
784	118847	183948
785	118955	183730
786	119081	183539
787	119195	183331
788	119331	183156
789	119455	182962
790	119583	182777
791	119699	182571
792	119842	182408
793	119967	182218
794	120095	182030
795	120204	181816
796	120316	181606
797	120432	181403
798	120554	181208
799	120658	180987
800	120767	180774
801	120873	180556
802	120972	180329
803	121127	180184
804	121289	180051
805	121403	179845
806	121504	179621
807	121634	179441
808	121745	179231
